"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Turk Wendell","- - -","36","33","33","552","6","645.2","7.18","4.52","1.02",".272","76.1 %","37.3 %","9.4 %","3.93","4.62","5.79","0.6","975"
"Marc Wilkins","Pirates","19","14","3","245","2","294.2","6.66","4.73","0.70",".292","72.2 %","","","4.28","4.48","","0.6","1013959"
"Fernando Abad","- - -","8","29","2","384","6","330.2","7.62","3.16","1.14",".281","77.7 %","41.5 %","10.6 %","3.67","4.24","4.33","0.6","4994"
"Masao Kida","- - -","1","1","1","65","2","95.2","6.40","3.67","0.85",".339","63.5 %","52.0 %","6.9 %","5.83","4.32","4.40","0.6","1800"
"Steve Wojciechowski","Athletics","7","10","0","32","24","138.2","3.12","3.70","1.23",".296","66.0 %","","","5.65","5.53","","0.6","1014181"
"Ricky Wright","- - -","3","3","0","55","7","102.2","5.87","5.26","0.44",".298","72.3 %","","","4.30","3.83","","0.6","1014292"
"Elizardo Ramirez","- - -","4","15","0","39","26","160.1","5.39","3.03","1.57",".318","63.2 %","42.5 %","14.1 %","6.40","5.44","4.87","0.6","1946"
"Alex Young","Diamondbacks","7","5","0","17","15","83.1","7.67","2.92","1.51",".249","75.5 %","48.1 %","16.5 %","3.56","4.81","4.65","0.6","18333"
"Mike Trujillo","- - -","12","12","3","83","22","234.2","3.68","3.38","1.11",".292","68.6 %","","","4.99","4.74","","0.6","1013205"
"John Barfield","Rangers","8","8","2","65","11","139.1","3.42","2.52","0.84",".289","61.2 %","","","4.72","4.15","","0.6","1000538"
"Nick Tepesch","- - -","10","20","0","47","44","238.2","5.43","3.02","1.28",".290","70.2 %","43.1 %","12.6 %","4.71","4.97","4.63","0.6","11716"
"Tavo Alvarez","Expos","3","6","0","19","13","58.1","4.01","4.01","0.31",".299","59.7 %","","","5.40","4.23","","0.6","1000200"
"Shane Youman","Pirates","3","7","0","21","11","79.0","3.87","3.76","0.68",".276","64.5 %","43.6 %","5.8 %","5.13","4.75","5.44","0.6","3888"
"Colin Poche","Rays","5","5","2","51","0","51.2","12.54","3.31","1.57",".235","67.6 %","18.3 %","13.2 %","4.70","4.08","4.44","0.6","19403"
"Scott Scudder","- - -","21","34","1","96","64","386.1","5.26","4.80","0.98",".282","69.0 %","","","4.82","4.75","","0.6","1011699"
"Matt Palmer","- - -","13","7","0","63","20","185.1","4.76","4.56","0.73",".280","69.5 %","50.2 %","7.5 %","4.56","4.74","5.09","0.6","4457"
"Cesar Jimenez","- - -","2","3","0","97","3","104.1","6.90","3.88","0.86",".283","74.4 %","40.9 %","7.7 %","4.05","4.18","4.60","0.6","3762"
"Jamie Brewington","- - -","9","4","0","39","13","120.2","5.89","4.77","0.82",".298","71.7 %","","","4.85","4.73","","0.6","1001411"
"Huck Flener","Blue Jays","3","3","0","29","12","94.2","5.23","4.09","1.14",".317","68.2 %","","","5.51","5.03","","0.6","1004148"
"Evan Marshall","- - -","8","9","0","156","0","143.1","7.79","3.96","0.88",".350","74.3 %","54.4 %","12.4 %","4.21","4.11","4.15","0.6","12297"
"Tony Gonsolin","Dodgers","4","2","1","11","6","40.0","8.33","3.38","0.90",".208","74.2 %","41.7 %","8.5 %","2.93","3.86","4.90","0.6","19388"
"Rich Loiselle","Pirates","9","18","49","202","3","224.0","7.15","4.98","0.88",".314","73.4 %","","","4.38","4.63","","0.6","1007711"
"Kevin Saucier","- - -","15","10","19","138","3","201.2","4.11","4.60","0.31",".273","76.2 %","","","3.17","3.98","","0.6","1011457"
"Cory Wade","- - -","11","6","0","161","0","177.2","6.94","2.08","1.17",".261","73.5 %","39.5 %","10.5 %","3.65","4.03","4.00","0.6","7570"
"Clay Condrey","- - -","18","12","4","179","9","250.1","5.14","3.13","0.90",".307","74.6 %","51.4 %","10.8 %","4.10","4.47","4.41","0.6","1579"
"Brandon Finnegan","- - -","16","18","0","67","44","260.2","7.94","4.63","1.48",".262","76.7 %","42.1 %","15.9 %","4.11","5.13","4.68","0.6","16208"
"Joe Roa","- - -","9","16","0","120","19","266.0","5.21","2.44","1.32",".323","72.5 %","41.3 %","12.2 %","4.94","4.71","4.42","0.6","969"
"Danny Boone","- - -","2","1","4","61","1","101.2","5.05","2.74","0.53",".298","73.7 %","","","3.36","3.27","","0.6","1001185"
"Sam Tuivailala","- - -","8","7","0","124","2","127.0","8.43","3.54","0.85",".295","80.5 %","45.3 %","9.4 %","3.33","3.89","4.40","0.6","13485"
"Jumbo Diaz","- - -","4","7","1","173","0","168.0","9.21","3.54","1.29",".292","74.7 %","41.2 %","14.2 %","4.02","4.20","3.92","0.6","3397"
"Steve Brown","Angels","2","4","0","15","7","57.0","4.42","3.95","0.63",".292","67.2 %","","","4.58","4.00","","0.6","1001561"
"Tim Mayza","Blue Jays","4","3","0","124","0","104.0","10.56","3.89","1.21",".322","71.3 %","48.6 %","16.1 %","4.67","3.98","3.74","0.6","15042"
"Nick Hagadone","Indians","3","2","1","143","0","118.1","9.28","4.56","1.06",".285","66.3 %","35.4 %","10.3 %","4.72","4.11","4.16","0.6","1351"
"Shaun Anderson","Giants","3","5","2","28","16","96.0","6.56","3.56","1.22",".322","67.8 %","41.2 %","13.8 %","5.44","4.77","4.95","0.6","19453"
"Ryan Bowen","- - -","17","28","0","64","60","326.0","5.96","5.08","0.97",".303","67.9 %","","","5.30","4.82","","0.6","1001248"
"John Koronka","- - -","8","13","0","31","30","158.1","4.38","3.81","1.31",".305","65.1 %","40.9 %","10.6 %","6.25","5.44","5.46","0.6","2130"
"Scott Anderson","- - -","1","2","0","18","7","54.2","4.61","3.46","0.66",".293","63.7 %","","","5.43","4.15","","0.6","1000242"
"A.J. Schugel","- - -","6","2","1","73","0","93.0","7.55","3.10","0.87",".295","72.2 %","48.6 %","10.8 %","3.19","3.79","4.04","0.6","11432"
"Cristhian Martinez","- - -","7","8","1","135","0","206.0","7.12","2.27","0.83",".286","69.5 %","49.8 %","9.8 %","4.02","3.48","3.54","0.6","5337"
"Bobby Livingston","- - -","3","3","0","13","10","61.1","4.40","2.05","1.47",".338","65.2 %","42.6 %","12.7 %","6.31","5.20","4.72","0.6","3876"
"Doug Rau","- - -","2","7","0","14","14","66.1","4.21","3.53","0.68",".343","63.6 %","","","5.83","4.11","","0.6","1010717"
"Chris George","Royals","14","20","0","47","44","237.1","3.75","3.60","1.48",".308","63.9 %","41.4 %","12.1 %","6.48","5.59","5.50","0.6","601"
"Kevin Morton","Red Sox","6","5","0","16","15","86.1","4.69","4.17","0.94",".296","70.0 %","","","4.59","4.59","","0.6","1009234"
"Mike Madden","Astros","12","10","0","71","26","194.0","5.52","5.24","0.42",".307","71.1 %","","","3.94","3.89","","0.6","1007944"
"Luke French","- - -","9","12","0","31","25","155.0","4.59","3.31","1.39",".292","71.4 %","30.9 %","9.0 %","4.99","5.30","5.45","0.6","7529"
"Brad Hennessey","Giants","17","23","20","148","44","360.2","4.79","3.67","1.10",".290","71.8 %","45.0 %","10.5 %","4.69","5.01","5.00","0.6","3720"
"Drew Steckenrider","Marlins","5","7","6","123","0","113.2","11.24","3.96","1.35",".286","77.1 %","35.8 %","13.5 %","3.72","4.01","4.01","0.6","18806"
"Tom Griffin","- - -","19","18","2","129","33","353.2","6.41","4.25","0.76",".271","73.1 %","","","3.82","3.95","","0.6","1005054"
"Duaner Sanchez","- - -","19","11","8","288","0","298.2","6.45","3.80","0.99",".285","74.7 %","46.7 %","10.5 %","4.10","4.53","4.55","0.6","1518"
"Tim Van Egmond","- - -","5","9","0","23","17","99.2","5.42","4.52","1.35",".278","64.4 %","","","5.96","5.44","","0.6","1013354"
"Erasmo Ramirez","- - -","8","4","0","91","0","114.0","4.42","1.74","0.95",".265","71.9 %","44.1 %","9.8 %","3.95","4.25","4.39","0.6","1699"
"Koda Glover","Nationals","3","4","9","63","0","55.1","6.83","3.42","0.81",".261","65.1 %","41.4 %","7.9 %","4.55","4.00","4.76","0.6","17695"
"Buck Farmer","Tigers","14","21","0","182","21","264.0","8.22","4.33","1.33",".311","69.3 %","42.3 %","12.8 %","5.32","4.89","4.93","0.6","14814"
"Marc Valdes","- - -","12","15","4","144","22","250.2","4.85","4.24","0.75",".304","65.6 %","","","4.95","4.75","","0.6","1013313"
"John Ely","Dodgers","4","13","0","25","19","115.1","7.18","3.98","1.09",".316","64.8 %","45.3 %","11.8 %","5.70","4.46","4.15","0.6","6132"
"Dock Ellis","- - -","4","12","0","30","24","138.2","3.37","3.37","0.97",".326","65.1 %","","","5.84","4.54","","0.6","1003747"
"Dave Wehrmeister","- - -","2","2","2","35","0","61.1","7.63","3.52","0.73",".303","70.0 %","","","4.55","3.43","","0.6","1013731"
"Oscar Villarreal","- - -","24","15","1","258","5","336.0","6.32","3.62","1.13",".274","73.9 %","44.1 %","11.3 %","3.86","4.69","4.59","0.6","1654"
"Jared Hughes","- - -","29","24","12","524","0","519.0","6.07","3.05","0.76",".269","78.3 %","61.5 %","13.9 %","2.88","4.11","3.98","0.6","9325"
"Lance Broadway","- - -","2","2","0","27","2","55.0","6.38","4.09","0.65",".324","65.5 %","50.0 %","6.9 %","5.24","4.02","4.46","0.5","9885"
"Enrique Burgos","Diamondbacks","3","4","3","73","0","68.1","10.80","5.00","0.92",".339","65.8 %","38.7 %","10.6 %","5.27","3.79","3.99","0.5","3895"
"Wes Obermueller","- - -","11","22","0","80","48","315.1","4.74","4.02","1.20",".310","66.4 %","45.0 %","11.7 %","5.82","5.26","5.11","0.5","1637"
"Jason Hirsh","- - -","8","11","0","32","29","165.2","5.98","4.02","1.74",".261","69.9 %","29.4 %","11.5 %","5.32","5.82","5.50","0.5","6293"
"Dave Von Ohlen","- - -","7","7","4","127","0","167.2","3.17","3.27","0.38",".301","74.0 %","","","3.33","3.73","","0.5","1013454"
"Dan Gakeler","Tigers","1","4","2","31","7","73.2","5.25","4.76","0.61",".280","57.6 %","","","5.74","4.20","","0.5","1004439"
"Rich Monteleone","- - -","24","17","0","210","0","353.1","5.40","3.03","1.10",".269","73.0 %","","","3.87","4.34","","0.5","1009068"
"Dennis Sarfate","- - -","5","4","0","92","4","119.1","9.88","6.11","0.83",".289","69.8 %","40.1 %","8.4 %","4.53","4.37","4.63","0.5","2174"
"Ricardo Rodriguez","- - -","10","15","0","39","36","206.2","4.53","3.27","1.44",".276","67.2 %","48.8 %","14.7 %","5.18","5.35","4.81","0.5","1585"
"Aaron Small","- - -","25","13","4","172","15","321.2","4.76","3.83","1.04",".313","68.7 %","41.5 %","11.7 %","5.20","4.95","5.14","0.5","1477"
"Luis Perez","Blue Jays","5","6","0","78","4","112.0","7.96","3.62","0.96",".319","72.3 %","55.7 %","13.2 %","4.50","4.10","3.80","0.5","6389"
"Casey Coleman","- - -","8","13","0","58","26","177.2","6.23","4.51","0.91",".330","67.3 %","46.5 %","9.2 %","5.72","4.60","4.69","0.5","8270"
"Matt Anderson","- - -","15","7","26","257","0","256.2","7.85","5.51","1.05",".296","66.7 %","40.3 %","15.8 %","5.19","4.83","5.94","0.5","459"
"Reggie Patterson","- - -","4","4","0","22","9","71.0","4.31","3.04","0.89",".294","64.4 %","","","5.20","4.12","","0.5","1010070"
"Bob Lacey","- - -","6","12","10","146","2","209.1","5.25","2.62","1.12",".303","70.3 %","","","4.43","4.09","","0.5","1007232"
"Matt Turner","- - -","5","5","1","64","0","80.2","7.14","3.68","0.78",".258","79.8 %","","","2.79","3.93","","0.5","1013231"
"Don Heinkel","- - -","1","1","1","28","5","62.2","6.61","2.73","0.86",".314","66.2 %","","","4.74","3.50","","0.5","1005595"
"Joe Klink","- - -","10","6","3","176","0","164.2","5.14","4.10","0.55",".297","72.2 %","","","4.26","3.99","","0.5","1007012"
"Ehren Wassermann","White Sox","2","3","0","57","0","42.2","4.85","4.43","0.00",".318","60.6 %","54.2 %","0.0 %","5.06","3.80","5.11","0.5","6380"
"Tyler Olson","- - -","5","3","1","124","0","94.0","9.00","4.40","0.86",".327","78.4 %","45.2 %","10.0 %","3.83","4.01","4.46","0.5","14741"
"Chris Nichting","- - -","1","4","1","92","0","112.0","6.27","2.49","1.29",".338","69.0 %","40.7 %","15.9 %","5.22","4.44","3.76","0.5","1414"
"Mark Thompson","- - -","18","24","0","94","52","337.0","5.29","4.30","1.47",".312","68.1 %","","","5.74","5.78","","0.5","1013019"
"Brian Bevil","Royals","5","3","1","60","1","67.1","8.96","4.81","0.94",".332","61.6 %","","","6.28","4.28","","0.5","1000939"
"Zach Jackson","- - -","4","5","0","22","17","105.1","5.38","2.91","1.28",".322","65.4 %","50.0 %","12.0 %","5.81","5.01","4.77","0.5","8356"
"Steve Delabar","- - -","15","9","2","190","0","194.2","11.19","4.72","1.20",".279","74.7 %","36.6 %","12.5 %","4.07","4.11","3.88","0.5","11827"
"Jonathan Loaisiga","Yankees","4","2","0","24","8","56.1","11.18","4.47","1.44",".345","72.2 %","43.9 %","19.6 %","4.79","4.33","3.78","0.5","19753"
"Dale Thayer","- - -","11","17","9","264","0","251.2","7.62","2.36","1.07",".287","76.9 %","39.7 %","10.4 %","3.47","3.80","3.82","0.5","5032"
"Jack Cressend","- - -","5","5","0","122","0","160.2","5.83","3.36","0.95",".302","73.5 %","36.0 %","9.6 %","4.20","4.31","4.87","0.5","723"
"Ron Musselman","- - -","4","2","1","48","4","89.1","4.74","4.03","0.60",".293","73.7 %","","","3.73","3.91","","0.5","1009409"
"Pete Ladd","- - -","17","23","39","205","1","287.0","6.55","3.01","1.25",".272","71.9 %","","","4.14","4.20","","0.5","1007245"
"Devin Smeltzer","Twins","2","2","1","11","6","49.0","6.98","2.20","1.47",".294","77.2 %","38.5 %","13.6 %","3.86","4.58","4.85","0.5","19487"
"Scott Elbert","Dodgers","4","3","2","127","0","96.2","8.75","3.91","0.93",".295","79.7 %","40.4 %","9.5 %","3.54","3.87","3.99","0.5","7489"
"Curtis King","Cardinals","6","2","2","68","0","81.1","4.65","3.43","0.55",".309","75.6 %","","","3.43","4.19","","0.5","1006926"
"Mike Bolsinger","- - -","8","19","0","48","41","230.2","8.19","3.82","1.33",".322","70.6 %","49.8 %","16.1 %","4.92","4.59","4.06","0.5","11137"
"Wayne Edwards","White Sox","5","5","2","62","5","125.2","6.02","4.37","0.64",".269","73.1 %","","","3.37","3.94","","0.5","1003694"
"Mike Mohler","- - -","14","27","10","347","20","417.0","6.06","5.01","0.97",".296","69.1 %","","","4.99","4.96","","0.5","1009033"
"Robert Stock","Padres","2","1","0","42","0","50.1","9.48","3.75","0.54",".338","67.8 %","50.0 %","6.1 %","4.11","3.27","4.19","0.5","6576"
"Roger Weaver","Tigers","3","4","0","19","6","63.2","5.94","4.81","0.71",".274","70.2 %","","","4.10","4.10","","0.5","1013704"
"John Cummings","- - -","10","15","0","110","16","216.1","4.74","4.41","0.96",".308","64.2 %","","","5.33","4.95","","0.5","1002874"
"Kazuhito Tadano","Indians","1","1","0","15","4","54.1","6.63","2.98","0.99",".305","68.4 %","33.5 %","8.1 %","4.47","4.17","4.66","0.5","1917"
"Jaime Cerda","- - -","3","9","2","132","0","122.2","6.68","5.50","0.59",".289","71.8 %","35.2 %","5.0 %","4.26","4.32","5.32","0.5","1532"
"Chad Zerbe","Giants","6","1","0","114","2","151.0","4.17","2.74","0.60",".291","70.6 %","51.1 %","6.0 %","3.87","3.98","4.66","0.5","1140"
"Zach Braddock","Brewers","1","3","0","71","0","51.0","10.41","5.29","0.53",".307","70.9 %","29.5 %","4.3 %","4.41","3.51","4.44","0.5","4553"
"Charlie Kerfeld","- - -","18","9","9","123","6","201.2","6.92","5.22","0.54",".295","70.2 %","","","4.20","3.79","","0.5","1006860"
"Gorman Heimueller","Athletics","3","6","0","22","14","98.1","3.11","3.29","0.92",".295","68.6 %","","","4.67","4.52","","0.5","1005592"
"Jason Berken","- - -","10","20","0","110","28","248.2","5.90","3.29","1.41",".335","69.4 %","41.8 %","12.3 %","5.36","5.00","4.61","0.5","5673"
"Danny Barnes","Blue Jays","6","9","0","119","0","120.2","8.50","3.80","1.27",".279","73.8 %","34.0 %","9.9 %","4.33","4.42","5.04","0.5","11388"
"Francisley Bueno","- - -","2","1","0","56","0","60.1","4.92","1.79","0.60",".279","76.4 %","47.5 %","5.5 %","2.98","3.57","4.30","0.5","5980"
"Justin Nicolino","Marlins","10","13","0","50","33","201.1","3.84","2.68","1.07",".300","71.1 %","45.8 %","10.5 %","4.65","4.84","5.12","0.5","11754"
"Alex Torres","- - -","7","4","1","152","0","154.1","9.16","5.02","0.52",".258","77.0 %","46.3 %","6.9 %","2.68","3.65","4.03","0.5","7038"
"Gary Wayne","- - -","14","14","4","231","0","249.2","5.91","3.75","0.79",".271","70.6 %","","","3.93","4.06","","0.5","1013690"
"Brian Johnson","Red Sox","7","9","0","65","26","171.0","7.47","3.84","1.42",".315","74.9 %","38.1 %","11.6 %","4.74","4.86","5.19","0.5","14272"
"Randy Flores","- - -","11","5","4","350","3","250.0","7.27","3.82","1.04",".331","71.5 %","41.7 %","10.2 %","4.61","4.45","4.45","0.5","1446"
"Chris Resop","- - -","10","12","2","235","0","243.1","7.55","4.18","0.85",".316","72.1 %","42.2 %","8.5 %","4.62","4.16","4.44","0.5","3799"
"Francisco Barrios","White Sox","10","7","0","26","25","147.1","2.57","3.36","0.98",".260","69.7 %","","","3.85","4.81","","0.5","1000603"
"Greg Gohr","- - -","8","11","1","66","22","182.2","6.45","4.04","1.72",".331","69.9 %","","","6.21","5.62","","0.5","1004803"
"Mike Dyer","- - -","14","18","6","155","13","236.2","5.86","4.30","0.72",".306","69.1 %","","","4.60","4.39","","0.5","1003615"
"Fred Howard","White Sox","1","5","0","28","6","68.0","4.76","4.24","0.66",".298","72.7 %","","","3.57","4.09","","0.5","1006081"
"Brandon Medders","- - -","16","7","1","210","0","234.2","6.71","3.99","1.04",".289","77.2 %","37.0 %","9.2 %","3.61","4.57","4.74","0.5","8604"
"Nick Martinez","Rangers","17","30","0","88","68","415.1","5.14","3.21","1.47",".286","72.1 %","39.8 %","12.3 %","4.77","5.36","5.19","0.5","12730"
"Curt Brown","- - -","2","4","0","34","0","51.2","4.70","2.44","0.70",".342","66.8 %","","","5.05","3.55","","0.5","1001507"
"Evan Scribner","- - -","5","4","1","145","0","169.0","8.25","1.54","1.44",".280","72.3 %","37.0 %","13.4 %","4.15","3.93","3.57","0.5","7525"
"Jeff Barkley","Indians","0","3","1","24","0","45.0","6.80","3.20","1.00",".275","57.7 %","","","5.40","3.69","","0.5","1000550"
"Justin Miller","- - -","13","5","3","150","0","156.1","9.15","3.11","1.44",".286","72.6 %","33.6 %","12.6 %","4.43","4.35","4.35","0.5","8580"
"Craig Chamberlain","Royals","4","5","0","15","10","79.0","3.76","2.62","1.14",".259","71.6 %","","","4.10","4.46","","0.5","1002121"
"Larry Thomas","White Sox","2","3","0","79","0","47.2","6.04","4.15","0.57",".278","81.5 %","","","3.02","4.20","","0.5","1012983"
"Henry Owens","Red Sox","4","6","0","16","16","85.0","7.52","4.66","1.27",".299","69.7 %","33.7 %","9.8 %","5.19","5.00","5.34","0.5","13143"
"Brian Williams","- - -","26","38","6","256","59","595.1","6.00","5.02","0.94",".310","66.3 %","","","5.37","4.91","","0.5","1013978"
"Alec Asher","- - -","4","12","0","38","18","119.2","5.87","2.86","1.43",".283","66.0 %","37.1 %","11.2 %","5.42","5.11","5.40","0.5","13560"
"Jose Nunez","- - -","4","2","0","63","0","60.0","9.00","3.90","1.05",".320","69.3 %","66.7 %","0.0 %","4.50","4.06","7.35","0.5","1410"
"Todd Wellemeyer","- - -","32","34","3","208","75","614.2","6.72","4.47","1.26",".291","71.3 %","39.4 %","11.1 %","4.83","5.03","4.88","0.5","1709"
"Terrell Wade","- - -","8","5","1","61","19","126.1","8.91","4.92","1.35",".329","77.5 %","","","3.99","4.83","","0.5","1013474"
"Ryan Perry","- - -","6","6","2","156","0","169.1","7.02","4.46","0.85",".294","70.8 %","41.0 %","7.9 %","4.36","4.37","4.67","0.5","8799"
"Clay Parker","- - -","7","10","0","62","27","234.0","4.65","3.00","1.19",".281","73.6 %","","","4.42","4.55","","0.5","1009999"
"Brooks Kieschnick","Brewers","2","2","0","74","0","96.0","6.28","2.44","1.03",".314","71.9 %","47.0 %","10.6 %","4.59","4.13","4.20","0.5","389"
"Yoervis Medina","- - -","10","9","2","146","0","146.0","9.06","4.87","0.62",".282","80.4 %","50.9 %","8.9 %","3.08","3.78","3.92","0.5","10498"
"Andrew Lorraine","- - -","6","11","0","59","26","175.0","5.81","4.27","1.59",".320","63.6 %","29.2 %","36.8 %","6.53","5.58","4.99","0.4","1583"
"Erik Goeddel","- - -","6","4","0","141","0","141.1","9.74","3.69","1.15",".267","76.9 %","38.3 %","11.8 %","3.69","3.96","4.06","0.4","11712"
"Josh Lindblom","- - -","5","8","1","114","6","147.0","8.02","3.73","1.10",".295","75.5 %","33.9 %","9.6 %","4.10","4.27","4.48","0.4","7882"
"Brayan Villarreal","- - -","4","8","0","74","0","75.0","10.32","5.64","0.84",".316","69.4 %","34.6 %","8.1 %","4.56","3.92","4.33","0.4","5180"
"Willie Fraser","- - -","38","40","7","239","57","657.0","4.49","3.26","1.22",".257","70.7 %","","","4.47","4.81","","0.4","1004306"
"George Kontos","- - -","18","18","2","350","0","357.0","7.26","2.60","0.96",".265","77.1 %","43.7 %","10.3 %","3.10","3.82","4.00","0.4","9486"
"Jeff Hoffman","Rockies","8","15","0","52","38","209.1","7.61","4.21","1.85",".310","66.2 %","41.2 %","17.2 %","6.11","5.67","5.20","0.4","17432"
"Jamie McAndrew","Brewers","3","4","0","15","8","55.2","4.37","5.66","0.49",".307","62.2 %","","","5.98","4.88","","0.4","1008327"
"Manny Hernandez","- - -","2","7","0","16","7","50.1","3.93","3.04","0.54",".306","64.1 %","","","4.47","3.79","","0.4","1005708"
"Juan Mateo","Cubs","1","3","0","11","10","45.2","6.90","4.53","1.18",".315","67.1 %","41.0 %","12.8 %","5.32","5.03","4.77","0.4","3753"
"Phil Huffman","- - -","6","18","0","33","32","177.2","2.94","3.70","1.32",".300","61.5 %","","","6.03","5.21","","0.4","1006146"
"Chi Chi Gonzalez","- - -","6","14","0","31","25","140.1","5.32","4.75","1.15",".252","67.1 %","45.9 %","12.7 %","4.87","5.32","5.39","0.4","14663"
