"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Oswaldo Arcia","- - -","288","1075","44","103","131","3","7.1%","31.5%",".187",".310",".235",".298",".422",".313","","96","-2.3","-7.6","-33.2","-0.6","10306","542455"
"Brent Morel","- - -","220","717","13","72","59","12","5.6%","18.4%",".101",".264",".227",".273",".328",".267","","60","1.7","-31.5","2.4","-0.6","6402","543569"
"Eliezer Alfonzo","- - -","193","624","17","44","67","1","2.7%","25.3%",".137",".298",".240",".271",".377",".275","","61","-4.0","-33.9","8.3","-0.6","2331","425769"
"Gene Kingsale","- - -","169","499","3","55","46","14","6.8%","16.4%",".076",".301",".253",".309",".330",".287","","74","-2.8","-19.9","-3.1","-0.6","1085","117094"
"Jamey Wright","- - -","630","317","0","14","8","0","1.3%","32.2%",".032",".236",".150",".162",".182",".153","","-23","0.0","-50.8","34.5","-0.6","715","124604"
"Michael Chavis","- - -","357","1186","42","133","142","8","5.4%","31.9%",".164",".319",".238",".283",".401",".293","","80","-2.8","-31.2","-14.1","-0.6","17321","656308"
"Casey Schmitt","SFG","90","277","5","28","30","2","4.7%","23.5%",".119",".253",".206",".255",".324",".254","","59","-2.0","-16.0","0.9","-0.6","27577","669477"
"Wilson Valdez","- - -","439","1240","6","131","107","17","5.6%","14.0%",".076",".273",".236",".281",".313",".262","","58","2.4","-60.9","17.1","-0.6","1863","407832"
"Andy Tracy","- - -","149","314","13","35","43","1","9.6%","31.5%",".191",".300",".231",".306",".422",".314","","80","0.4","-7.8","-8.1","-0.6","2024","282905"
"Cole Gillespie","- - -","221","482","6","52","46","7","7.1%","20.1%",".116",".306",".251",".305",".367",".294","","83","1.1","-8.4","-12.0","-0.6","5888","502261"
"Juan Yepez","STL","104","339","14","32","32","0","5.9%","23.9%",".179",".275",".240",".286",".419",".305","","97","-2.9","-4.5","-12.9","-0.6","18400","660766"
"Yairo Munoz","- - -","242","626","14","72","66","16","6.4%","20.9%",".128",".323",".268",".319",".396",".307","","93","-2.0","-7.9","-17.5","-0.6","16313","622168"
"Tyler Holt","- - -","156","318","0","29","15","7","9.1%","26.4%",".046",".323",".228",".306",".274",".265","","60","1.8","-13.1","-2.9","-0.6","11391","534627"
"Jesse Garcia","- - -","154","253","3","35","21","7","2.4%","17.8%",".074",".255",".217",".239",".291",".232","","34","1.9","-19.5","4.8","-0.6","1418","150019"
"Drew Robinson","- - -","100","253","9","32","22","2","11.9%","40.3%",".157",".321",".202",".296",".359",".289","","70","0.0","-9.2","-5.4","-0.6","11761","592685"
"Evan White","SEA","84","306","10","27","35","1","7.8%","37.6%",".143",".232",".165",".235",".308",".240","","52","1.6","-16.4","-0.8","-0.6","20078","657108"
"Shane Costa","KCR","154","449","5","49","42","2","3.6%","14.0%",".112",".287",".254",".289",".366",".285","","66","1.1","-17.9","-3.9","-0.6","6358","430573"
"Kevin Frandsen","- - -","514","1363","15","134","110","7","4.7%","9.4%",".090",".277",".258",".312",".348",".294","","79","-8.9","-42.6","-6.9","-0.6","7528","435623"
"Andrew Vaughn","CHW","413","1639","53","183","204","1","6.6%","19.9%",".164",".292",".256",".315",".420",".319","","103","-12.9","-7.3","-53.4","-0.6","26197","683734"
"Aaron Miles","- - -","932","3064","19","347","229","30","5.3%","9.6%",".072",".305",".281",".320",".352",".297","","75","7.9","-90.3","-15.9","-0.6","1844","425446"
"Mark Smith","- - -","217","504","14","58","55","2","8.7%","20.8%",".158",".283",".243",".312",".401",".311","","81","-2.4","-15.0","-8.2","-0.6","540","122432"
"Jeff Larish","- - -","101","276","8","30","32","3","10.5%","30.1%",".155",".303",".224",".308",".380",".307","","83","-0.9","-6.4","-9.4","-0.6","5128","460252"
"Bernard Gilkey","- - -","143","306","5","25","29","0","9.2%","19.3%",".107",".252",".215",".294",".322",".275","","56","-0.4","-18.5","0.7","-0.6","1004706","114792"
"Ramon Martinez","- - -","718","2017","24","198","223","9","7.5%","12.3%",".102",".287",".262",".320",".364",".300","","78","-7.0","-63.2","-9.4","-0.6","1120","134002"
"Brett Baty","NYM","119","431","11","45","39","2","7.2%","27.1%",".115",".269",".210",".272",".325",".265","","68","-1.5","-18.5","-2.5","-0.6","26123","683146"
"John Smoltz","- - -","367","277","0","8","10","0","3.6%","31.4%",".036",".179",".109",".147",".145",".135","","-28","0.0","-46.1","30.3","-0.7","115","122477"
"Jefry Marte","- - -","256","728","30","85","91","4","7.1%","21.4%",".185",".243",".222",".288",".407",".300","","88","-2.0","-12.3","-18.7","-0.7","5107","527043"
"L.J. Hoes","- - -","112","337","4","37","22","7","6.8%","20.5%",".091",".289",".237",".289",".328",".275","","72","0.9","-9.5","-7.3","-0.7","6656","543321"
"Mike Edwards","- - -","106","282","3","24","15","1","6.7%","14.2%",".085",".278",".243",".300",".328",".282","","68","-2.0","-13.5","-2.4","-0.7","1850","425855"
"Elehuris Montero","COL","138","492","17","61","59","0","4.7%","34.8%",".189",".338",".239",".283",".428",".305","","77","0.0","-13.8","-9.7","-0.7","20543","660707"
"Mac Williamson","- - -","160","483","17","51","50","4","8.9%","28.8%",".145",".254",".203",".282",".348",".276","","72","-1.7","-19.1","-3.5","-0.7","14158","607776"
"Jackson Frazier","- - -","280","928","29","114","101","12","11.0%","29.0%",".178",".311",".235",".327",".412",".320","","101","-5.0","-3.2","-34.0","-0.7","15983","640449"
"J.A. Happ","- - -","360","253","1","13","6","0","4.3%","36.0%",".024",".160",".095",".140",".118",".123","","-31","-0.1","-41.0","26.4","-0.7","7410","457918"
"Bobby Smith","TBD","73","279","7","26","33","2","7.2%","33.7%",".121",".299",".210",".269",".331",".265","","50","0.2","-17.8","1.0","-0.7","1493","134360"
"Danny Richar","- - -","79","252","6","35","18","2","6.7%","17.1%",".152",".257",".229",".281",".381",".290","","68","-0.9","-10.9","-4.5","-0.7","3767","462950"
"Eric Valent","- - -","205","450","13","50","37","0","9.1%","22.4%",".155",".280",".234",".307",".389",".300","","79","-2.8","-15.1","-6.7","-0.7","1629","346858"
"Luis Terrero","- - -","243","625","14","66","52","17","7.5%","25.8%",".122",".305",".234",".319",".356",".303","","75","-1.5","-21.6","-6.2","-0.7","1765","407880"
"Ronny Cedeno","- - -","875","2792","40","265","239","39","5.2%","20.3%",".108",".299",".245",".289",".353",".280","","68","-4.1","-114.8","18.2","-0.7","2179","430592"
"Lee Stevens","- - -","391","1546","62","187","227","3","11.4%","22.7%",".201",".277",".241",".329",".442",".329","","92","-2.5","-17.7","-39.7","-0.7","796","122765"
"Hiroki Kuroda","- - -","212","254","0","7","3","0","5.1%","28.3%",".005",".153",".100",".153",".105",".127","","-30","-0.1","-40.0","25.6","-0.7","3283","493133"
"Jeff Clement","- - -","152","421","14","33","39","0","6.2%","26.1%",".153",".266",".218",".277",".371",".284","","73","-3.4","-17.1","-3.3","-0.7","4652","459943"
"Pete Orr","- - -","443","738","3","94","46","19","3.8%","19.4%",".071",".319",".257",".289",".328",".271","","61","5.2","-31.0","0.3","-0.7","2748","434681"
"Mike Restovich","- - -","152","297","6","37","21","1","9.4%","22.9%",".138",".299",".239",".313",".377",".306","","82","-2.5","-9.6","-7.5","-0.7","751","282879"
"Russ Adams","TOR","286","993","17","125","113","15","8.6%","11.9%",".126",".264",".247",".313",".372",".302","","78","3.7","-23.7","-17.7","-0.7","4519","425859"
"Tucupita Marcano","- - -","149","447","5","41","34","7","5.8%","19.7%",".103",".263",".217",".269",".320",".260","","61","0.5","-20.7","-1.5","-0.7","22871","672779"
"Preston Tucker","- - -","243","651","23","65","68","0","6.3%","23.2%",".182",".258",".222",".281",".403",".297","","87","0.2","-10.3","-18.0","-0.7","13633","605512"
"Gilberto Celestino","MIN","145","409","4","37","27","4","8.6%","22.2%",".078",".284",".222",".292",".300",".268","","73","-4.9","-17.8","-2.4","-0.7","20233","665482"
"Mickey Morandini","- - -","126","457","0","41","29","6","7.9%","16.8%",".056",".315",".257",".322",".313",".291","","64","0.3","-21.9","-1.3","-0.7","1009151","119347"
"Tim Bogar","- - -","122","368","9","36","35","1","10.1%","15.5%",".132",".230",".213",".298",".345",".280","","55","-0.2","-23.0","2.8","-0.7","1001120","111148"
"Quinton McCracken","- - -","530","1234","7","143","91","19","8.1%","15.4%",".096",".305",".258",".320",".355",".298","","72","-0.4","-44.1","-4.6","-0.7","1377","118609"
"Joe Blanton","- - -","427","261","0","13","6","0","3.4%","35.2%",".000",".184",".106",".157",".106",".129","","-33","-0.1","-42.4","27.2","-0.7","4849","430599"
"Mike Pelfrey","- - -","275","308","0","13","13","0","4.2%","23.4%",".019",".142",".104",".151",".123",".132","","-28","-0.1","-48.6","31.6","-0.7","5203","460059"
"Alex Sanchez","- - -","427","1651","6","193","111","122","4.6%","14.1%",".076",".344",".296",".330",".372",".310","","87","-0.5","-28.6","-34.3","-0.7","708","400128"
"Chris Owings","- - -","723","2489","37","262","220","79","5.7%","24.5%",".125",".307",".239",".286",".364",".281","","68","11.5","-84.6","-3.3","-0.7","10030","572008"
"Steve Lombardozzi","- - -","291","848","5","75","52","10","3.4%","12.3%",".073",".292",".260",".292",".333",".275","","70","-0.7","-30.4","-2.3","-0.7","5422","543459"
"Eric Patterson","- - -","226","575","10","65","50","35","9.9%","25.7%",".126",".282",".217",".294",".343",".286","","74","8.3","-10.0","-16.7","-0.7","9072","452221"
"Julius Matos","- - -","104","259","4","26","26","2","3.9%","17.4%",".066",".284",".244",".278",".310",".263","","58","0.4","-13.1","-2.8","-0.7","1509","408240"
"Eddie Taubensee","- - -","133","419","9","45","35","0","7.4%","15.0%",".113",".293",".262",".321",".374",".308","","77","0.0","-12.9","-8.4","-0.7","1012845","123113"
"Jonathan Arauz","- - -","95","262","8","23","31","0","8.4%","25.2%",".124",".217",".184",".253",".308",".249","","52","0.7","-14.6","-1.0","-0.7","20275","660620"
"Dixon Machado","- - -","177","522","2","45","37","3","6.7%","18.4%",".066",".278",".226",".285",".292",".257","","56","-1.1","-28.6","3.6","-0.8","11472","553988"
"Matt Dominguez","- - -","362","1369","42","123","152","0","4.8%","18.2%",".140",".253",".231",".273",".371",".283","","77","-13.8","-48.7","-1.7","-0.8","4903","518625"
"Michael Ryan","- - -","149","326","7","35","35","4","6.1%","17.5%",".137",".294",".258",".301",".395",".301","","80","-2.8","-10.5","-8.2","-0.8","1643","408050"
"Terry Shumpert","- - -","394","932","21","133","92","27","7.9%","15.2%",".164",".281",".254",".324",".418",".322","","73","0.3","-32.4","-6.3","-0.8","449","122205"
"Cheslor Cuthbert","- - -","323","1161","27","100","119","3","6.5%","20.2%",".128",".295",".250",".300",".378",".293","","79","-8.6","-38.1","-10.3","-0.8","10473","596144"
"Brandon Fahey","BAL","189","455","2","54","36","5","6.2%","18.0%",".083",".274",".224",".279",".307",".263","","52","2.5","-25.4","1.9","-0.8","4746","454994"
"Jason Schmidt","- - -","198","449","7","23","13","0","2.2%","40.3%",".068",".190",".115",".142",".183",".145","","-24","0.0","-71.4","48.7","-0.8","1131","121834"
"Rosell Herrera","- - -","149","421","3","35","31","7","7.1%","20.0%",".091",".279",".225",".286",".316",".265","","63","1.5","-17.9","-3.9","-0.8","11611","594011"
"Greg Norton","- - -","841","1860","62","206","248","8","11.9%","22.6%",".170",".298",".250",".341",".420",".333","","93","-0.6","-16.9","-53.1","-0.8","1388","119853"
"Rich Hill","- - -","383","274","0","4","13","0","1.1%","40.5%",".020",".199",".113",".130",".133",".118","","-37","-0.1","-48.4","31.6","-0.8","4806","448179"
"Kevin Correia","- - -","363","356","0","12","13","0","3.1%","35.1%",".020",".206",".120",".151",".140",".135","","-26","-0.9","-55.5","36.8","-0.8","1767","429781"
"Jeff Bianchi","- - -","165","404","4","34","40","4","4.5%","18.8%",".066",".256",".215",".250",".281",".237","","41","-0.9","-28.0","8.6","-0.8","9958","488703"
"Riley Adams","- - -","139","433","11","35","41","0","8.8%","30.3%",".167",".309",".224",".308",".391",".307","","92","-1.4","-5.1","-16.9","-0.8","19864","656180"
"Nick Senzel","CIN","377","1366","33","175","125","32","7.6%","20.6%",".130",".283",".239",".302",".369",".293","","77","-1.9","-41.0","-12.8","-0.8","19293","669222"
"Jeff Francis","- - -","256","386","0","18","16","0","6.5%","26.4%",".023",".171",".116",".183",".139",".156","","-26","-0.1","-61.8","41.5","-0.8","4684","433585"
"Jose Nieves","- - -","156","372","7","39","33","2","4.0%","20.7%",".115",".286",".239",".272",".353",".272","","58","-1.8","-22.5","1.3","-0.8","26","136303"
"Jorge Fabregas","- - -","161","478","8","35","55","1","4.0%","8.2%",".090",".230",".227",".255",".317",".249","","41","-0.1","-35.6","11.0","-0.8","12","113966"
"Charlie Tilson","CHW","96","280","1","23","23","6","7.1%","20.7%",".044",".314",".246",".310",".290",".268","","66","1.4","-10.7","-7.1","-0.8","12983","605508"
"Kevin Smith","- - -","114","333","8","26","25","5","4.5%","31.2%",".127",".230",".173",".215",".301",".226","","44","0.0","-22.0","2.9","-0.8","20242","675656"
"Matt Tuiasosopo","- - -","155","404","12","41","45","0","9.4%","31.7%",".147",".281",".206",".288",".353",".288","","78","-1.6","-12.3","-9.4","-0.8","8272","449168"
"Chance Sisco","- - -","196","608","16","61","54","1","10.2%","32.2%",".139",".282",".197",".317",".337",".295","","82","-2.2","-15.2","-13.2","-0.8","15694","642082"
"Brett Wallace","- - -","494","1440","40","143","138","2","8.3%","30.0%",".151",".325",".238",".316",".389",".310","","93","-7.9","-19.4","-33.3","-0.8","8434","477165"
"James Jones","SEA","136","359","0","47","9","28","3.9%","22.3%",".059",".310",".238",".268",".296",".252","","61","7.5","-8.1","-11.0","-0.8","9767","571825"
"Ron Coomer","- - -","375","1268","31","114","167","2","6.4%","12.8%",".134",".280",".263",".312",".397",".308","","80","-3.1","-36.2","-15.9","-0.8","816","112641"
"Fernando Martinez","- - -","99","310","9","28","29","2","4.5%","23.2%",".156",".241",".206",".269",".362",".279","","70","1.3","-9.8","-7.9","-0.8","9210","494686"
"Chris Capuano","- - -","321","422","1","16","20","0","2.4%","41.7%",".035",".230",".124",".148",".159",".139","","-26","-0.1","-65.5","44.2","-0.8","1701","425626"
"George Lombard","- - -","132","375","7","52","20","20","6.9%","28.8%",".115",".295",".216",".277",".331",".270","","63","7.0","-11.1","-10.6","-0.8","101","136601"
"Trevor Crowe","- - -","265","894","4","94","68","35","6.7%","17.9%",".082",".292",".240",".294",".322",".276","","69","1.1","-32.2","-6.8","-0.9","3402","460067"
"Austin Wynns","- - -","232","653","13","63","61","2","5.4%","22.5%",".098",".277",".226",".273",".324",".264","","61","-6.5","-37.6","6.5","-0.9","15271","642851"
"Vimael Machin","OAK","112","361","1","38","14","1","10.0%","18.6%",".053",".257",".208",".290",".261",".254","","65","-1.6","-16.5","-4.1","-0.9","17684","605353"
"Andrew Knapp","- - -","325","873","13","83","66","2","11.8%","31.4%",".104",".307",".209",".310",".313",".278","","69","3.1","-30.5","-5.5","-0.9","14942","595284"
"Marco Hernandez","BOS","122","271","3","36","18","2","3.3%","24.7%",".078",".348",".265",".300",".342",".280","","67","0.0","-11.4","-7.0","-0.9","13154","593523"
"Hector Sanchez","- - -","347","834","21","60","120","0","4.1%","24.8%",".129",".293",".238",".273",".367",".277","","76","-1.2","-24.9","-9.5","-0.9","10289","516949"
"Yadiel Rivera","- - -","192","319","1","33","15","5","8.5%","30.4%",".042",".258",".175",".244",".217",".208","","26","0.9","-28.3","9.5","-0.9","11863","592680"
"Tommy Manzella","HOU","90","287","1","17","21","0","4.5%","26.1%",".038",".305",".224",".266",".262",".239","","42","-0.4","-20.2","3.0","-0.9","3789","446373"
"Wendell Magee","DET","278","795","18","91","83","6","5.4%","17.1%",".138",".288",".255",".295",".393",".299","","80","-0.1","-19.9","-16.5","-0.9","477","118136"
"Ryan Kalish","- - -","153","422","4","52","36","16","6.4%","21.8%",".103",".311",".245",".297",".349",".286","","74","2.0","-10.8","-11.6","-0.9","6962","501888"
"Grayson Greiner","- - -","139","485","9","42","46","0","9.1%","32.2%",".106",".287",".201",".275",".307",".258","","58","0.2","-25.5","-1.4","-0.9","17062","606988"
"Jabari Blash","- - -","123","324","8","35","22","4","13.6%","38.3%",".120",".299",".186",".306",".307",".278","","71","-0.7","-12.4","-7.3","-0.9","11247","518466"
"Wandy Rodriguez","- - -","280","511","0","24","21","0","2.0%","25.4%",".022",".189",".134",".153",".157",".140","","-25","-0.2","-78.4","53.2","-0.9","2586","434643"
"Tyler Pastornicky","ATL","124","268","2","30","15","2","6.3%","17.9%",".071",".295",".243",".295",".314",".271","","67","0.3","-10.0","-6.8","-0.9","6777","543629"
"Dwight Smith Jr.","- - -","169","568","17","66","68","7","7.2%","21.8%",".168",".292",".248",".310",".416",".309","","90","-0.2","-7.5","-21.7","-0.9","13473","596105"
"Luis Garcia","WSN","325","1245","24","137","133","13","4.3%","17.3%",".130",".304",".265",".295",".395",".297","","85","-6.2","-28.9","-21.6","-0.9","20391","671277"
"Abraham Nunez","- - -","136","339","6","42","35","1","10.0%","21.8%",".099",".256",".209",".288",".308",".268","","54","-0.7","-20.7","-0.2","-0.9","531","346863"
"Kyle Hendricks","CHC","251","404","0","12","16","0","2.7%","44.1%",".014",".206",".103",".135",".117",".117","","-36","-0.1","-68.2","46.3","-0.9","12049","543294"
"John Hicks","- - -","264","902","32","97","97","4","5.4%","29.9%",".166",".306",".236",".279",".401",".290","","78","-7.1","-31.3","-9.2","-0.9","12547","543308"
"Magneuris Sierra","- - -","278","636","0","67","30","29","5.7%","22.6%",".044",".301",".228",".273",".272",".240","","48","7.5","-32.8","3.9","-0.9","17023","642423"
