"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Carlos Perez","- - -","212","670","11","47","58","4","5.1%","18.7%",".104",".251",".215",".257",".319",".252","56","85.5","-1.6","-36.8","9.1","-0.5","10642"
"Isiah Kiner-Falefa","Rangers","234","846","8","94","65","18","6.6%","16.9%",".091",".309",".260",".319",".351",".295","75","86.1","-2.7","-29.1","-5.5","-0.5","16512"
"Jason Kendall","Royals","118","490","0","39","37","12","7.6%","9.2%",".041",".280",".256",".318",".297",".280","69","","-1.1","-18.9","-3.5","-0.5","993"
"Eric Patterson","- - -","137","308","8","34","24","19","8.4%","27.3%",".167",".258",".203",".272",".370",".283","75","","1.9","-7.1","-8.3","-0.5","9072"
"Arismendy Alcantara","- - -","167","459","11","51","39","14","5.2%","32.7%",".126",".260",".189",".235",".315",".244","49","83.5","3.8","-24.4","4.3","-0.5","10711"
"J.P. Arencibia","- - -","467","1687","80","169","245","2","5.0%","28.7%",".200",".248",".212",".258",".412",".290","78","90.4","-4.4","-46.2","-14.2","-0.5","697"
"Brent Morel","- - -","220","717","13","72","59","12","5.6%","18.4%",".101",".264",".227",".273",".328",".267","60","101.6","1.7","-31.5","2.4","-0.6","6402"
"Tyler Holt","- - -","156","318","0","29","15","7","9.1%","26.4%",".046",".323",".228",".306",".274",".265","60","84.1","1.8","-13.1","-2.5","-0.6","11391"
"Ryan O'Hearn","Royals","191","672","28","62","86","0","11.5%","26.9%",".202",".253",".212",".304",".414",".307","89","90.8","-3.5","-13.4","-17.6","-0.6","16442"
"Jace Peterson","- - -","534","1693","22","159","142","40","11.2%","21.1%",".104",".283",".227",".317",".331",".288","77","87.5","2.2","-44.3","-15.9","-0.6","12325"
"Matt Tuiasosopo","- - -","134","332","11","38","41","0","10.2%","32.2%",".153",".290",".211",".299",".364",".298","86","96.7","-2.0","-7.5","-9.4","-0.6","8272"
"Preston Tucker","- - -","243","651","23","65","68","0","6.3%","23.2%",".182",".258",".222",".281",".403",".297","87","89.9","0.2","-10.1","-17.1","-0.6","13633"
"Alex Cora","- - -","157","366","0","26","26","6","6.0%","10.7%",".060",".243",".217",".275",".277",".251","52","","2.2","-18.4","1.5","-0.6","1386"
